	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	Kingdom	Phylum	Class	Order	Family	Genus	Species
seq1573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales			
seq1574	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	coagulans
seq1575	0	0	0	0	0	0	0	0	0	122	0	0	0	0	127	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	
seq1576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq1577	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Clostridia				
seq1578	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	Eukaryota						
seq1579	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae		
seq1580	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	
seq1581	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	
seq1582	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales			
seq1583	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae		
seq1584	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	senegalense
seq1585	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	
seq1586	0	0	0	0	0	0	0	0	0	124	0	0	0	0	122	0	0	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	thermophila
seq1587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	
